Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
220933,2020-09-07 20:35:35,3597926034019603,fraud_Gibson-Deckow,entertainment,502.17,Derrick,Flores,M,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,35.2229,-89.5518,9496,Furniture conservator/restorer,1993-03-23,6798949696571ac0cd625456639a76c0,1378586135,34.664982,-89.203234,1
26586,2020-06-30 03:06:29,3528231451607350,fraud_DuBuque LLC,grocery_pos,320.73,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,776f09532c82d906fc3204573f59fd01,1372561589,38.785077,-75.598612,1
351103,2020-11-03 14:57:54,3504178999463051,fraud_Feil-Morar,health_fitness,140.85,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1992-07-23,4c8a6d9c1e53c77f98949b9710320e5c,1383490674,40.314655,-83.85854300000001,0
466871,2020-12-12 17:15:21,3587044315915002,"fraud_Roberts, Daniel and Macejkovic",kids_pets,40.61,Christian,Roman,M,495 Fisher Throughway,Grand Junction,TN,38039,35.0659,-89.1534,1804,Clothing/textile technologist,1974-10-15,d8524ffba05f3d51014c716f55146a50,1386868521,35.171991,-90.079751,0
220817,2020-09-07 19:51:20,4653879239169997,"fraud_Quitzon, Green and Bashirian",shopping_pos,1.44,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,62b03893766888facac43b7acf202e55,1378583480,37.088112,-86.888175,0
26397,2020-06-30 01:40:26,4761403817546679245,"fraud_Langworth, Boehm and Gulgowski",shopping_net,829.4,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,dbab11d6b66735e14dffaf08b5601ad8,1372556426,35.582421999999994,-91.611369,1
61080,2020-07-12 17:42:11,3566875419572867,fraud_Kozey-Kuhlman,personal_care,77.65,Adam,Mcdonald,M,997 Cameron Meadow Apt. 980,South Hero,VT,5486,44.64,-73.3113,1654,Transport planner,1991-01-31,4bb5bdec79f7863c5aab4c4fe0041637,1373650931,43.890497,-72.427184,0
84647,2020-07-20 17:19:56,4294040533480516,fraud_Jast-McDermott,shopping_pos,7.99,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413000000000004,-81.69,2206,Biomedical scientist,1986-12-31,89547c6403a7af4bb909e5bc116ba24a,1374340796,33.678864000000004,-81.334186,0
257828,2020-09-23 18:47:29,5540636818935089,"fraud_Streich, Rolfson and Wilderman",kids_pets,65.91,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,1985-04-04,07b68d6bc90ee9efe56179a07592bf10,1379962049,42.750513,-70.275563,0
23967,2020-06-29 13:17:38,3525668150756629,fraud_Runte-Mohr,food_dining,76.47,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,1990-08-13,e2b1eef9a407c98ed48452874f39a961,1372511858,47.195087,-86.249364,0
324392,2020-10-23 09:21:35,30234966027947,fraud_Flatley-Durgan,misc_net,9.36,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,f4bb1471b4800cae294199e598cde10c,1382520095,44.004201,-88.311913,0
394613,2020-11-23 06:15:36,343464013864032,fraud_Kilback Group,food_dining,218.39,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,1962-08-13,9acdbc24f044452de910e892b9b4c2f6,1385187336,35.159019,-78.44833100000001,0
11789,2020-06-24 23:20:06,3593118134380341,fraud_Terry-Huel,shopping_net,900.77,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,53252776f86750964b0ab9b922708d15,1372116006,44.971125,-68.90919699999999,1
85927,2020-07-20 23:21:52,4651007077623147,fraud_Weimann-Lockman,kids_pets,65.66,Andrea,Lewis,F,43075 Cohen Shoals,Ashford,WA,98304,46.7531,-121.9898,759,Video editor,1956-09-14,89668fa55b0f857c8b8e94a76dc7e2b6,1374362512,46.854363,-122.693747,0
135656,2020-08-07 22:49:18,4302475216404898,fraud_Quitzon-Goyette,home,17.17,Daniel,Cain,M,384 Newman Forks Apt. 370,Belmond,IA,50421,42.8511,-93.62,3032,Community pharmacist,1964-08-08,0b5856a718a7c900e5cfd271e17086e3,1375915758,43.002795,-93.762684,0
271714,2020-09-29 17:32:21,3589255887819806,fraud_Homenick LLC,personal_care,5.88,David,Miller,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1984-02-14,488c690524ee73f20d74b012c752af78,1380475941,40.589997,-78.558072,0
225567,2020-09-09 17:42:51,377993105397617,fraud_Kerluke-Abshire,shopping_net,6.93,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,cca82c55a3e3b4daa3191357e9046592,1378748571,45.433514,-88.150754,0
422277,2020-12-01 23:40:38,343746486082492,"fraud_Schmeler, Bashirian and Price",shopping_net,1.83,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",1975-10-11,2e1f9d9bd3ce1604a396745e3a4a40d6,1385941238,45.592821,-85.764207,0
59034,2020-07-12 02:09:32,4277232699798846,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,114.49,Jennifer,Vance,F,13299 Patrick Terrace,Rhame,ND,58651,46.1664,-103.7079,475,Illustrator,1955-11-10,bd392304e38f3cf40817d9fdfe949864,1373594972,45.456219,-103.645526,0
350476,2020-11-03 10:29:56,4412720572684931,fraud_Sawayn PLC,shopping_pos,7.71,Richard,Marshall,M,295 Page Creek Suite 181,Greenbush,VA,23357,37.7681,-75.6664,776,Psychiatrist,1949-11-17,26c7f0d6e944d703d87440854b1602f4,1383474596,37.644767,-75.43263,0
126699,2020-08-04 07:38:57,4736845434667908128,fraud_Heidenreich PLC,grocery_pos,136.95,Toni,Gomez,F,062 Carl Dam,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23,28ee086f4c61d9ddee5d5b2e5cfa3476,1375601937,44.223956,-73.182215,0
115615,2020-07-31 21:29:17,3518234918950662,"fraud_Hagenes, Kohler and Hoppe",food_dining,67.34,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,1970-09-11,c64d8c5bf204fd959d7d39c05ba5d6a2,1375306157,33.449065999999995,-96.194382,0
146493,2020-08-11 06:18:46,6011388901471808,"fraud_Haley, Jewess and Bechtelar",shopping_pos,414.97,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,01aa79239e901751726afc30aaee6ccc,1376201926,40.626959,-80.854964,0
503175,2020-12-20 16:28:45,3562679455732797,fraud_Deckow-Dare,food_dining,37.24,Amanda,Jones,F,7320 Jennifer Forges,Queenstown,MD,21658,39.0026,-76.1424,3862,Maintenance engineer,1962-12-06,6d36466110826bdbf57dd5c26ebc2c7c,1387556925,38.839679,-75.395995,0
462774,2020-12-11 15:27:46,4904681492230012,fraud_Dooley Inc,shopping_pos,4.99,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19,4b17b5d7ac7d8eb3b3fb7dafe1cd5be0,1386775666,42.535185,-73.178896,0
263112,2020-09-26 17:53:25,213113028819344,fraud_Jakubowski Group,food_dining,132.91,Melanie,Jimenez,F,77944 Daniels Valley Suite 921,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27,3e3b11ab94b2edbf2017261725d87b68,1380218005,43.867797,-74.94460600000001,0
359495,2020-11-08 01:04:05,2475085306462014,fraud_Cartwright-Harris,grocery_pos,289.3,John,Miller,M,153 Mccullough Springs Apt. 857,Lamberton,MN,56152,44.2378,-95.2739,1507,Land/geomatics surveyor,1993-10-12,889e6ee72ad30e46dae55fce2da9e185,1383872645,45.087537,-95.220372,1
